문제,선택지,답안
화폐 유통 속도는,"['실제 경제에서는 계산할 수 없다.', '돈이 얼마나 빨리 이동할 수 있는지를 나타낸다.', '화폐 승수를 계산하는 데 필요하다.', '일반적인 달러가 1년에 구매를 위해 사용되는 횟수이다.']",3
다음 중 체내에서 완전히 산화될 때 가장 많은 에너지를 방출하는 것은 무엇입니까?,"['글루코스 1그램', '팔미트산 1그램', '류신 1그램', '알코올 1그램']",1
"xy-평면의 제1사분면에서 곡선 y = x와 y = x^2로 둘러싸인 영역을 y축을 중심으로 회전시킬 때, 생성되는 회전체의 부피는 _______ 입니다.","['π/12', 'π/6', 'π/3', '2π/3']",1
홍보 관리자로서 활동의 우선순위를 정하고 일정을 잡는 것을 고집해야 하는 주된 이유는 무엇입니까?,"['부서가 전략 계획에 집중할 수 있도록 돕기 위해', 'CEO에게 중요한 프로젝트가 항상 최우선 순위를 갖도록 하기 위해', '부서의 행사와 홍보 활동이 소홀히 되지 않도록 하기 위해', '다른 부서가 홍보 부서의 책임을 이해하기 쉽게 하기 위해']",0
"달에 산다고 가정해 봅시다. 하루는 얼마나 길까요 (즉, 일출부터 다음 일출까지)?","['약 18년', '24시간', '지구의 29일', '1년']",2
외래 정신 건강 치료를 위해 내원한 우울증 환자들을 무작위로 인지 행동 치료 또는 단기 역동적 치료에 배정하고 두 그룹 모두 사전 테스트와 사후 테스트에서 평가하는 연구에서:,"['혼합 모형 분산 분석(ANOVA)을 사용하여 데이터를 분석할 수 있다', '설계에는 하나의 집단 간 요인과 하나의 집단 내 요인이 포함된다', '각 요인은 두 수준으로 구성된다', '위의 모든 사항']",3
다음 중 1787년에 작성된 헌법의 핵심 원칙을 설명하는 것은 무엇입니까?,"['직접 민주주의', '견제와 균형', '평등한 대표', '단일 정부']",1
전력계의 이동 코일 회로의 저항은 _______이어야 합니다.,"['낮아야 합니다.', '매우 낮아야 합니다.', '높아야 합니다.', '거의 0이어야 합니다.']",2
"신경망에서 과소적합(즉, 높은 편향 모델)과 과적합(즉, 높은 분산 모델) 간의 균형에 가장 영향을 미치는 구조적 가정은 무엇입니까?","['은닉 노드의 수', '학습률', '가중치의 초기 선택', '상수항 입력의 사용']",0
새로운 사회 운동의 부상은 다음을 나타냅니다:,"['사람들이 실용적인 문제와 우려에 따라 투표한다', '소비자 정체성이 계급 정체성보다 더 중요하다', '개인적, 문화적, 환경적 문제가 경제적 이익만큼이나 정치적 의식을 동원할 수 있다', '위의 모든 것']",3
미국 정부의 사법부는 법을 ________ 권한을 가지고 있습니다.,"['해석하다', '제정하다', '집행하다', '무효화하다']",0
다음 중 잔차 비정규성 발견에 대한 타당한 대응은 무엇입니까?,"['선형 형식 대신 로그 함수 형식을 사용하십시오', '회귀 모델의 오른쪽에 있는 변수의 시차를 추가하십시오', '모델을 1차 차분 형식으로 추정하십시오', '데이터에서 큰 이상치를 제거하십시오.']",3
사이먼은 과일 샐러드를 만들기 위해 3개의 배와 9개의 사과를 사용했습니다. 과일 샐러드에서 배의 수와 사과의 수의 비율은 무엇입니까?,"['1:03', '1:04', '1:06', '1:09']",0
"다음 두 가지 시나리오 중 어느 경우에서 주인공(나/내/나의를 사용하는)이 2020년 미국의 일반적인 도덕 기준에 따라 명백히 도덕적으로 잘못된 행동을 했습니까? 시나리오 1 | 내가 방에 들어갔을 때, 나는 모든 사람의 지갑을 훔쳤다. 시나리오 2 | 나는 3학년 반에게 공부하라고 명령했다.","['잘못, 잘못', '잘못, 잘못 아님', '잘못 아님, 잘못', '잘못 아님, 잘못 아님']",1
"52세 남성이 지난 3주 동안 심한 호흡곤란과 끈적끈적하고 갈색-노란색 가래를 동반한 기침으로 병원에 입원했습니다. 그는 15년 동안 오래된 건물을 샌드블라스팅하는 경력을 가지고 있습니다. 그는 지난 30년 동안 하루에 두 갑의 담배를 피웠습니다. 환자는 키 168 cm (5 ft 6 in), 체중 59 kg (130 lb), BMI는 21 kg/m2입니다. 활력 징후는 체온 36.8°C (98.2°F), 맥박 94회/분, 혈압 150/92 mm Hg입니다. 실내 공기에서의 맥박 산소 측정은 산소 포화도가 70%임을 나타냅니다. 신체 검사에서 그는 입술을 오므리고 손톱이 청색증을 보이며 중등도의 심한 고통을 겪고 있습니다. 가슴은 전후 직경이 증가했습니다. 가슴 청진에서 모든 폐 필드에 산재한 천명음과 수포음을 발견했습니다. 심장 검사는 심음이 약하고 S4가 들립니다. 손가락은 곤봉 모양입니다. 흉부 X선은 폐가 과팽창되고 횡격막이 평평해졌으며, 상엽에 큰 불규칙한 혼탁과 림프절의 난각석회화를 보여줍니다. 항생제 치료 외에, 다음 중 가장 적절한 개입은 무엇입니까?","['아자티오프린 치료', '기관지경 검사', '지속적인 가습 산소', '야간 지속적 양압 호흡 (CPAP)']",2
다음 거래 중 실질적 이행의 원칙을 정확히 설명한 것은 무엇입니까?,"['Blair는 Kyle에게 파란 의자 12개를 주문했지만 Kyle은 빨간 의자 12개를 배달했다.', 'Leslie는 방 전체를 칠했지만 전기 콘센트 커버를 다시 끼우지 않았다.', ""계약은 Toby의 만족을 위해 헤어 스타일링을 요구했지만 Toby는 선의로 결과에 만족하지 않았다."", ""치과 의사가 Lee의 치아를 능숙하게 발치했지만 실수로 잘못된 치아를 뽑았다.""]",1
고고학적 및 유전적 증거에 따르면 늑대와 개의 분리가 포함된 가축화 과정은 약 _______ 전에 발생했습니다.,"['65,000년에서 늦어도 48,000년 전', '45,000년에서 늦어도 38,000년 전', '35,000년에서 늦어도 18,000년 전', '15,000년에서 늦어도 10,000년 전']",2
개인의 환경과 행동 간의 관계를 조사하여 가장 시급한 행동 문제와 이를 완화할 수 있는 가능한 방법을 식별하려고 시도하는 평가 유형은 무엇입니까?,"['성격', '인지', '생태', '교육과정 기반']",2
피트산을 함유한 음식을 많이 섭취해도 섭취량에 영향을 받지 않는 미네랄은 무엇입니까?,"['칼슘', '칼륨', '아연', '철']",1
다음 중 전통적인 안보 연구 개념 내에서 군사 안보의 방향을 가장 잘 설명하는 진술은 무엇입니까?,"['전략 연구는 국제 관계의 중심 관심사이며, 전략 연구 내에서 안보 연구는 군사 안보에 중점을 둡니다.', '군사 안보는 국제 관계 내에서 중심적인 관심사이며 학문을 지배합니다. 국제 관계 내에서 전략 연구는 학문적 관심의 하위 집합을 형성하며, 그 안에서 안보 연구는 때때로 등장합니다.', '전략 연구는 국제 관계의 하위 집합으로 가장 잘 개념화되며, 전략 연구 내에서 군사 안보는 주요 관심사 중 하나입니다. 안보 연구는 전략 연구의 하위 집합입니다.', '군사 안보는 전략 연구의 중심 관심사이며, 전략 연구는 안보 연구의 하위 집합입니다. 군사 안보는 안보 연구의 중심 관심사 중 하나이며, 안보 연구는 국제 관계의 하위 집합입니다.']",3
"2020년 현재 미국의 일반적인 도덕 기준에 따르면, 다음 두 시나리오 중 어느 시나리오에서 주인공(나/내가/내가 사용함)이 명백히 도덕적으로 잘못된 행동을 하나요? 시나리오 1 | 나는 직장의 휴게실 싱크대에 더러운 접시와 머그잔을 남겨두었다. 시나리오 2 | 나는 아내를 안아주고 키스하며, 꽃을 사주는 것을 좋아한다.","['잘못됨, 잘못됨', '잘못됨, 잘못되지 않음', '잘못되지 않음, 잘못됨', '잘못되지 않음, 잘못되지 않음']",1
"큰 학급을 팀으로 나누어 각 학생이 정확히 한 팀의 일원이 되어야 합니다. 그러나 각 학생은 세 명의 반 친구를 싫어합니다. 학생 간의 싫어함은 상호적일 필요가 없습니다. 팀의 크기가 동일할 필요가 없을 때, 싫어하는 사람과 같은 팀이 되지 않으려면 몇 개의 팀을 만들어야 합니까?","['4', '7', '10', '13']",1
어떤 친절한 사람들이 어떤 멸종 위기 종들을 돕습니다. (Ex: x는 멸종 위기이다; Kx: x는 친절하다; Px: x는 사람이다; Sx: x는 종이다; Hxy: x가 y를 돕는다),"['(∃x){(Kx • Px) • (∃y)[(Ey • Sy) • Hxy]}', '(∃x)(∃y){[(Kx • Sx) • (Ey • Py)] • Hxy}', '(∃x)(∃y){[(Kx • Sx) • (Ey • Py)] • Hyx}', '(∃x)(∃y){[(Kx • Px) • (Ey • Sy)] ⊃ Hxy}']",0
1900년대 중반에 많은 정신과 환자들이 탈시설화된 한 가지 원인은,"['정부 자금 지원 증가.', '정신 질환자의 권리 운동.', '새로운 약물의 개발.', '심리 치료의 개선.']",2
"Scott은 NEBOTYA라는 글자를 20분 동안 단어로 만들기 위해 시도했지만 성공하지 못했습니다. 수업에 가는 도중, 갑자기 그 단어가 BAYONET이라는 답이 떠올랐습니다. 이것은 _______의 예입니다.","['고전적 조건형성', '조작적 조건형성', '효과의 법칙', '통찰']",3
영국 화폐에서 몇 펜스가 1파운드를 만드나요?,"['10', '100', '500', '1000']",1
"1세 남아가 손과 발에 물집이 생긴 신선한 화상을 입고 응급실에 왔습니다. 그의 어머니는 그가 욕조에서 뜨거운 물을 틀어놓고 그녀가 침실에서 전화를 받는 동안 사고로 화상을 입었다고 보고합니다. 화상의 제거, 통증 관리, 철저한 병력 조사 및 신체 검사, 기본적인 실험실 검사 외에 가장 적절한 다음 단계는 _______입니다.","['5% 알부민 주입', '정맥 스테로이드 투여', '아동 보호 서비스에 연락', '부모와 함께 환자를 집으로 퇴원']",2
명제 1 | 모든 양의 정수 계수에 대해 자유 아벨 군이 존재한다. 명제 2 | 유한 생성 아벨 군은 베티 수가 생성 집합의 원소 수와 같을 경우 자유 아벨 군이다.,"['참, 참', '거짓, 거짓', '참, 거짓', '거짓, 참']",0
"다음 논증의 결론을 식별하십시오. 우리 일상적인 환자들에서 관찰되는 감정으로 인한 약화된 지능을 동료들에서도 확인하지 않기가 어렵다. 일반적으로 가장 강력한 방어 기제에 속하는 우리의 의식의 오만함은 무의식적인 복합체를 차단한다. 이로 인해 사람들에게 무의식을 설득하고, 그들의 의식적 지식이 모순되는 것을 가르치는 것이 어렵다. (지그문트 프로이트, 정신분석의 기원과 발전)","['우리 일상적인 환자들에서 관찰되는 감정으로 인한 약화된 지능을 동료들에서도 확인하지 않기가 어렵다.', '일반적으로 가장 강력한 방어 기제에 속하는 우리의 의식의 오만함은 무의식적인 복합체를 차단한다.', '이로 인해 사람들에게 무의식을 설득하고, 그들의 의식적 지식이 모순되는 것을 가르치는 것이 어렵다.', '사람들에게 무의식을 설득하고, 그들의 의식적 지식이 모순되는 것을 가르치는 것이 어렵다.']",3
sin x를 3 sin 2x로 바꾸면 함수의 정의역과 치역에 어떤 변화가 생길까요?,"['정의역과 치역은 동일하다', '정의역은 두 배가 되고 치역은 동일하다', '정의역은 세 배가 되고 치역은 두 배가 된다', '정의역은 동일하고 치역은 세 배가 된다']",3
남자가 엘리베이터 안에 서 있을 때 엘리베이터가 상승하기 시작합니다. 바닥에서 작용하는 수직 항력이 남자에게 일을 합니까?,"['예, 그리고 일의 값은 양수입니다.', '예, 그리고 일의 값은 음수입니다.', '예, 하지만 부호는 결정할 수 없습니다.', '아니요.']",0
모헨조다로가 복잡한 도시 중심지로 발전한 시기는 언제입니까?,"['초기 상 왕조 동안, 기원전 1,000년에서 400년 사이', '진 왕조 동안, 기원전 3,500년에서 3,000년 사이', '성숙한 하라판 시기 동안, 기원전 4,500년에서 4,000년 사이', '초기 하라판 시기 동안, 기원전 8,500년에서 6,000년 사이']",2
"질문: 40세 여성 비서가 2개월 동안 피로감, 전반적인 통증 및 사지의 근위근 약화로 인해 병원에 왔습니다. 환자는 처음에는 차에 타고 내릴 때만 약화를 느꼈지만, 지난 2주 동안 약화가 진행되어 이제는 머리를 빗는 것도 어려워졌습니다. 증상이 시작된 이후로 그녀는 손 관절의 통증도 있었으며, 이부프로펜에 부분적으로 반응했습니다. 그녀는 입양되었고 가족력은 알 수 없습니다. 그녀는 건강한 십대 자녀 두 명이 있습니다. 그녀는 불편해 보입니다. 키는 170 cm(5 ft 7 in)이고 체중은 68 kg(150 lb)이며, BMI는 24 kg/m2입니다. 활력 징후는 체온 37.7°C(99.8°F), 맥박 90회/분, 호흡 20회/분, 혈압 110/70 mm Hg입니다. 환자는 의식이 명료하고 완전히 지남력이 있습니다. 신체 검사에서는 몇몇 손가락 끝과 측면을 포함한 양손의 피부 갈라짐이 발견되었습니다. 상완과 다리 근육은 압력에 약간 민감합니다. 혈청 검사 결과 크레아틴 키나아제 농도는 600 U/L이고, 젖산 탈수소 효소 농도는 800 U/L입니다. 전체 혈구 수치는 기준 범위 내에 있습니다. 다음 중 가장 가능성이 높은 진단은 무엇입니까?","['섬유근육통', '중증 근무력증', '다발성 근염', '경피증']",2
